
2024/11/06 (11:42:20) | ===> btop++ v.1.4.0
2024/11/06 (11:42:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (15:12:24) | ===> btop++ v.1.4.0
2024/11/06 (15:12:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (11:42:33) | ===> btop++ v.1.4.0
2024/11/13 (11:42:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (11:43:46) | ===> btop++ v.1.4.0
2024/11/13 (11:43:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (15:17:03) | ===> btop++ v.1.4.0
2024/11/13 (15:17:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (13:44:23) | ===> btop++ v.1.4.0
2024/11/14 (13:44:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (13:46:39) | ===> btop++ v.1.4.0
2024/11/14 (13:46:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (16:25:14) | ===> btop++ v.1.4.0
2024/11/14 (16:25:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (16:42:14) | ===> btop++ v.1.4.0
2024/11/14 (16:42:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (11:43:15) | ===> btop++ v.1.4.0
2024/11/15 (11:43:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (13:07:11) | ===> btop++ v.1.4.0
2024/11/15 (13:07:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:00:00) | ===> btop++ v.1.4.0
2024/11/15 (15:00:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (13:35:48) | ===> btop++ v.1.4.0
2024/11/18 (13:35:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (13:57:09) | ===> btop++ v.1.4.0
2024/11/18 (13:57:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (15:19:30) | ===> btop++ v.1.4.0
2024/11/18 (15:19:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (09:15:07) | ===> btop++ v.1.4.0
2024/11/19 (09:15:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (10:34:54) | ===> btop++ v.1.4.0
2024/11/19 (10:34:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (19:30:38) | ===> btop++ v.1.4.0
2024/11/19 (19:30:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (19:34:53) | ===> btop++ v.1.4.0
2024/11/19 (19:34:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (19:44:05) | ===> btop++ v.1.4.0
2024/11/19 (19:44:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (20:07:25) | ===> btop++ v.1.4.0
2024/11/19 (20:07:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (20:13:17) | ===> btop++ v.1.4.0
2024/11/19 (20:13:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (20:53:16) | ===> btop++ v.1.4.0
2024/11/19 (20:53:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (12:42:50) | ===> btop++ v.1.4.0
2024/11/20 (12:42:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (12:43:41) | ===> btop++ v.1.4.0
2024/11/20 (12:43:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (17:41:40) | ===> btop++ v.1.4.0
2024/11/20 (17:41:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (13:57:42) | ===> btop++ v.1.4.0
2024/11/21 (13:57:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (14:05:21) | ===> btop++ v.1.4.0
2024/11/21 (14:05:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (14:05:33) | ===> btop++ v.1.4.0
2024/11/21 (14:05:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (13:17:14) | ===> btop++ v.1.4.0
2024/11/22 (13:17:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (14:45:27) | ===> btop++ v.1.4.0
2024/11/25 (14:45:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (12:22:56) | ===> btop++ v.1.4.0
2024/11/27 (12:22:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (09:41:10) | ===> btop++ v.1.4.0
2024/12/03 (09:41:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (14:10:28) | ===> btop++ v.1.4.0
2024/12/03 (14:10:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (13:01:09) | ===> btop++ v.1.4.0
2024/12/05 (13:01:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (14:49:33) | ===> btop++ v.1.4.0
2024/12/07 (14:49:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (13:44:18) | ===> btop++ v.1.4.0
2024/12/11 (13:44:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (15:18:02) | ===> btop++ v.1.4.0
2024/12/12 (15:18:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (13:56:28) | ===> btop++ v.1.4.0
2024/12/17 (13:56:28) | WARNING: Intel GPU: Failed to initialize PMU
